CANAL,CLASSIFICACAO_CANAL,CNPJ_PROGRAMADORA,CLASSIFICACAO_PROGRAMADORA,NR_IDENTIFICACAO,OFERTA_CLIENTE,DENSIDADE_CANAL,PAIS_PROGRAMADORA,TIPO_CONTEUDO_CANAL,NOME_PROGRAMADORA,DATA_INICIO_OFERTA
FASHION TV BRAZIL HD,canal brasileiro de espaço qualificado,07254174000120,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",474430008,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A,2015-07-01
FILM & ARTS,canal de espaço qualificado,,programadora estrangeira,626830001,canal ofertado em pacote,PADRÃO,Argentina,canal de conteúdo em geral,AMC NETWORKS ARGENTINA S.C.A.,2018-06-01
FILM & ARTS HD,canal de espaço qualificado,,programadora estrangeira,626830002,canal ofertado em pacote,ALTA DEFINIÇÃO,Argentina,canal de conteúdo em geral,AMC NETWORKS ARGENTINA S.C.A.,2018-06-01
FISHTV,canal brasileiro de espaço qualificado,14807981000198,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",2226930001,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,TUNNA ENTRETENIMENTO E AUDIOVISUAL LTDA,2012-06-29
FISHTV HD,canal brasileiro de espaço qualificado,14807981000198,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",2226930002,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,TUNNA ENTRETENIMENTO E AUDIOVISUAL LTDA,2018-02-01
FOOD NETWORK,canal de espaço qualificado,,programadora estrangeira,2603930021,canal ofertado em pacote,PADRÃO,Espanha,canal de conteúdo em geral,"DISCOVERY NETWORKS, SL",2014-03-01
FOOD NETWORK HD,canal de espaço qualificado,,programadora estrangeira,2603930022,canal ofertado em pacote,ALTA DEFINIÇÃO,Espanha,canal de conteúdo em geral,"DISCOVERY NETWORKS, SL",2014-03-01
FUEL TV,canal de programação comum,,programadora estrangeira,4529730001,"canal ofertado em pacote, canal à la carte",ALTA DEFINIÇÃO,Portugal,canal de conteúdo em geral,FUEL TV EMEA S.A.,2020-10-01
FX HD,canal de espaço qualificado,,programadora estrangeira,627630016,canal ofertado em pacote,ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo em geral,TFCF LATIN AMERICAN CHANNEL LLC,2014-06-02
GLOBO NEWS,canal de programação comum,27865757000102,programadora brasileira independente,472730002,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo jornalístico,GLOBO COMUNICACAO E PARTICIPACOES S/A,1996-10-15
GLOBO NEWS HD,canal de programação comum,27865757000102,programadora brasileira independente,472730003,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo jornalístico,GLOBO COMUNICACAO E PARTICIPACOES S/A,2013-02-03
GLOOB,canal de espaço qualificado,27865757000102,programadora brasileira independente,472730005,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo infantil e adolescente,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
GLOOB (EM HD),canal de espaço qualificado,27865757000102,programadora brasileira independente,472730018,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo infantil e adolescente,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
GLOOBINHO,canal de espaço qualificado,27865757000102,programadora brasileira independente,472730095,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo infantil e adolescente,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
GNT,canal de espaço qualificado,27865757000102,programadora brasileira independente,472730006,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
GNT HD,canal de espaço qualificado,27865757000102,programadora brasileira independente,472730014,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
H2,canal de espaço qualificado,,programadora estrangeira,2239930003,canal ofertado em pacote,PADRÃO,Estados Unidos,canal de conteúdo em geral,"HISTORY CHANNEL BRAZIL DISTRIBUTION, LLC",2014-10-01
H2 HD,canal de espaço qualificado,,programadora estrangeira,2239930004,canal ofertado em pacote,ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo em geral,"HISTORY CHANNEL BRAZIL DISTRIBUTION, LLC",2014-10-01
HBO,canal de espaço qualificado,05517603000189,programadora estrangeira,626130003,"canal ofertado em pacote, canal à la carte",PADRÃO,Estados Unidos,canal de conteúdo em geral,"BRASIL DISTRIBUTION, L.L.C.",2024-01-01
HBO (EM HD),canal de espaço qualificado,05517603000189,programadora estrangeira,626130004,"canal ofertado em pacote, canal à la carte",ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo em geral,"BRASIL DISTRIBUTION, L.L.C.",2024-01-01
HBO 2,canal de espaço qualificado,05517603000189,programadora estrangeira,626130019,"canal ofertado em pacote, canal à la carte",PADRÃO,Estados Unidos,canal de conteúdo em geral,"BRASIL DISTRIBUTION, L.L.C.",2024-01-01
HBO 2 (EM HD),canal de espaço qualificado,05517603000189,programadora estrangeira,626130020,"canal ofertado em pacote, canal à la carte",ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo em geral,"BRASIL DISTRIBUTION, L.L.C.",2024-01-01
HBO FAMILY,canal de espaço qualificado,05517603000189,programadora estrangeira,626130005,"canal ofertado em pacote, canal à la carte",PADRÃO,Estados Unidos,canal de conteúdo em geral,"BRASIL DISTRIBUTION, L.L.C.",2024-01-01
HBO FAMILY (EM HD),canal de espaço qualificado,05517603000189,programadora estrangeira,626130006,"canal ofertado em pacote, canal à la carte",ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo em geral,"BRASIL DISTRIBUTION, L.L.C.",2024-01-01
HBO MUNDI,canal de espaço qualificado,05517603000189,programadora estrangeira,626130008,"canal ofertado em pacote, canal à la carte",PADRÃO,Estados Unidos,canal de conteúdo em geral,"BRASIL DISTRIBUTION, L.L.C.",2024-01-01
HBO MUNDI HD,canal de espaço qualificado,05517603000189,programadora estrangeira,626130009,"canal ofertado em pacote, canal à la carte",ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo em geral,"BRASIL DISTRIBUTION, L.L.C.",2024-01-01
HBO PLUS,canal de espaço qualificado,05517603000189,programadora estrangeira,626130010,"canal ofertado em pacote, canal à la carte",PADRÃO,Estados Unidos,canal de conteúdo em geral,"BRASIL DISTRIBUTION, L.L.C.",2024-01-01
HBO PLUS (EM HD),canal de espaço qualificado,05517603000189,programadora estrangeira,626130011,"canal ofertado em pacote, canal à la carte",ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo em geral,"BRASIL DISTRIBUTION, L.L.C.",2024-01-01
HBO POP,canal de espaço qualificado,05517603000189,programadora estrangeira,626130013,"canal ofertado em pacote, canal à la carte",PADRÃO,Estados Unidos,canal de conteúdo em geral,"BRASIL DISTRIBUTION, L.L.C.",2024-01-01
HBO POP HD,canal de espaço qualificado,05517603000189,programadora estrangeira,626130014,"canal ofertado em pacote, canal à la carte",ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo em geral,"BRASIL DISTRIBUTION, L.L.C.",2024-01-01
HBO SIGNATURE,canal de espaço qualificado,05517603000189,programadora estrangeira,626130015,"canal ofertado em pacote, canal à la carte",PADRÃO,Estados Unidos,canal de conteúdo em geral,"BRASIL DISTRIBUTION, L.L.C.",2024-01-01
HBO SIGNATURE (EM HD),canal de espaço qualificado,05517603000189,programadora estrangeira,626130016,"canal ofertado em pacote, canal à la carte",ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo em geral,"BRASIL DISTRIBUTION, L.L.C.",2024-01-01
HBO XTREME,canal de espaço qualificado,05517603000189,programadora estrangeira,626130017,"canal ofertado em pacote, canal à la carte",PADRÃO,Estados Unidos,canal de conteúdo em geral,"BRASIL DISTRIBUTION, L.L.C.",2024-01-01
HBO XTREME HD,canal de espaço qualificado,05517603000189,programadora estrangeira,626130018,"canal ofertado em pacote, canal à la carte",ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo em geral,"BRASIL DISTRIBUTION, L.L.C.",2024-01-01
HGTV HD,canal de espaço qualificado,,programadora estrangeira,2603930024,canal ofertado em pacote,ALTA DEFINIÇÃO,Espanha,canal de conteúdo em geral,"DISCOVERY NETWORKS, SL",2019-06-10
HGTV SD,canal de espaço qualificado,,programadora estrangeira,2603930023,canal ofertado em pacote,PADRÃO,Espanha,canal de conteúdo em geral,"DISCOVERY NETWORKS, SL",2019-06-10
INVESTIGAÇÃO DISCOVERY,canal de espaço qualificado,,programadora estrangeira,2603930009,canal ofertado em pacote,PADRÃO,Espanha,canal de conteúdo em geral,"DISCOVERY NETWORKS, SL",2012-07-09
INVESTIGAÇÃO DISCOVERY HD,canal de espaço qualificado,,programadora estrangeira,2603930013,canal ofertado em pacote,ALTA DEFINIÇÃO,Espanha,canal de conteúdo em geral,"DISCOVERY NETWORKS, SL",2012-12-04
JOVEM PAN NEWS,canal de programação comum,56137979000107,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",4972330001,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo jornalístico,DIGITAL SEVEN PRODUTORA E DISTRIBUIDORA EIRELI,2021-10-27
LIFETIME,canal de espaço qualificado,,programadora estrangeira,2706030001,canal ofertado em pacote,PADRÃO,Estados Unidos,canal de conteúdo em geral,"LIFETIME BRAZIL DISTRIBUTION, LLC.",2014-07-01
LIFETIME HD,canal de espaço qualificado,,programadora estrangeira,2706030002,canal ofertado em pacote,ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo em geral,"LIFETIME BRAZIL DISTRIBUTION, LLC.",2016-11-06
LIVETV,canal de programação comum,00589639000154,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",5268630001,canal ofertado em pacote,PADRÃO,Brasil,canal de televenda ou infomercial,ZIGON COMUNICACOES LTDA,2023-03-15
LIVETV,canal de programação comum,50187341000196,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",5728530001,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de televenda ou infomercial,LIVE TV SP LTDA,2023-04-03
LMC+,canal de espaço qualificado,24815120000105,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",5256030001,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,NIRVANA TECNOLOGIA DIGITAL LTDA,2023-09-15
MACAE TV,canal de programação comum,14185374000133,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",4033530001,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,MACAÉ TV LTDA,2018-03-01
MARKKET,canal de programação comum,07254174000120,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",474430011,canal ofertado em pacote,PADRÃO,Brasil,canal de televenda ou infomercial,PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A,2022-03-01
MARKKET HD,canal de programação comum,07254174000120,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",474430012,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de televenda ou infomercial,PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A,2022-03-01
MAS CHIC,canal não adaptado ao mercado brasileiro,06147448000119,programadora estrangeira,621130001,canal ofertado em pacote,PADRÃO,Estados Unidos,canal de conteúdo em geral,AMC NETWORKS LATIN AMERICA LLC,2005-08-01
MASTER,canal de programação comum,03187306000197,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",2092530001,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,PREDICIT COMUNICAÇÕES LTDA-ME,2001-07-04
MEGAPIX,canal de espaço qualificado,00252848000108,programadora brasileira de capital estrangeiro,3930012,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,TELECINE PROGRAMACAO DE FILMES LTDA,2008-07-01
MEGAPIX HD,canal de espaço qualificado,00252848000108,programadora brasileira de capital estrangeiro,3930013,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,TELECINE PROGRAMACAO DE FILMES LTDA,2010-08-01
MODO VIAGEM,canal brasileiro de espaço qualificado,27865757000102,programadora brasileira independente,472730017,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
MODO VIAGEM (HD),canal brasileiro de espaço qualificado,27865757000102,programadora brasileira independente,472730012,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
